codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
1,PROD00001,NOM_PROD1,DES_PROD1,1,2,157,2,3015,0,2577,17.03,S,149,188,I
2,PROD00002,NOM_PROD2,DES_PROD2,5,3,393,2,3293,0,2771,18.86,N,373,471,I
3,PROD00003,NOM_PROD3,DES_PROD3,1,3,282,2,5431,0,4904,10.75,S,267,338,I
4,PROD00004,NOM_PROD4,DES_PROD4,1,1,156,5,4638,0,3928,18.1,N,148,187,A
5,PROD00005,NOM_PROD5,DES_PROD5,4,3,464,2,4567,0,3892,17.35,S,440,556,I
6,PROD00006,NOM_PROD6,DES_PROD6,3,1,468,1,3288,0,2905,13.21,S,444,561,A
7,PROD00007,NOM_PROD7,DES_PROD7,4,1,205,5,3036,0,2651,14.56,N,194,246,I
8,PROD00008,NOM_PROD8,DES_PROD8,1,2,10,5,3437,0,3095,11.07,S,9,12,A
9,PROD00009,NOM_PROD9,DES_PROD9,2,3,340,1,2825,0,2407,17.38,N,323,408,A
10,PROD000010,NOM_PROD10,DES_PROD10,3,1,36,5,3825,0,3257,17.45,S,34,43,A
11,PROD000011,NOM_PROD11,DES_PROD11,1,1,174,4,5164,0,4564,13.15,S,165,208,A
12,PROD000012,NOM_PROD12,DES_PROD12,3,3,209,2,4934,0,4281,15.26,S,198,250,A
13,PROD000013,NOM_PROD13,DES_PROD13,5,2,465,5,4455,0,3747,18.9,N,441,558,I
14,PROD000014,NOM_PROD14,DES_PROD14,1,2,46,1,5190,0,4409,17.72,N,43,55,A
15,PROD000015,NOM_PROD15,DES_PROD15,1,2,274,1,2965,0,2643,12.21,N,260,328,I
16,PROD000016,NOM_PROD16,DES_PROD16,2,1,139,4,5116,0,4633,10.43,S,132,166,I
17,PROD000017,NOM_PROD17,DES_PROD17,3,2,302,3,3623,0,3096,17.05,N,286,362,A
18,PROD000018,NOM_PROD18,DES_PROD18,2,2,272,2,3735,0,3226,15.79,N,258,326,A
19,PROD000019,NOM_PROD19,DES_PROD19,3,2,443,3,3199,0,2724,17.47,N,420,531,A
20,PROD000020,NOM_PROD20,DES_PROD20,3,2,127,4,2829,0,2549,11.02,S,120,152,A
21,PROD000021,NOM_PROD21,DES_PROD21,5,3,59,3,4066,0,3658,11.17,N,56,70,A
22,PROD000022,NOM_PROD22,DES_PROD22,5,3,339,3,5587,0,4997,11.82,N,322,406,I
23,PROD000023,NOM_PROD23,DES_PROD23,1,2,394,2,3235,0,2766,16.99,N,374,472,I
24,PROD000024,NOM_PROD24,DES_PROD24,5,1,242,5,4844,0,4037,20.0,S,229,290,A
25,PROD000025,NOM_PROD25,DES_PROD25,1,3,29,1,5272,0,4743,11.16,S,27,34,A
26,PROD000026,NOM_PROD26,DES_PROD26,1,1,39,4,4921,0,4329,13.68,N,37,46,A
27,PROD000027,NOM_PROD27,DES_PROD27,2,3,33,2,3644,0,3084,18.16,S,31,39,A
28,PROD000028,NOM_PROD28,DES_PROD28,1,1,32,5,2755,0,2335,18.01,S,30,38,A
29,PROD000029,NOM_PROD29,DES_PROD29,1,2,393,1,5258,0,4722,11.37,S,373,471,A
30,PROD000030,NOM_PROD30,DES_PROD30,5,3,84,1,2716,0,2316,17.28,N,79,100,I
31,PROD000031,NOM_PROD31,DES_PROD31,2,1,297,3,5178,0,4655,11.25,N,282,356,A
32,PROD000032,NOM_PROD32,DES_PROD32,2,3,340,5,3768,0,3405,10.69,N,323,408,I
33,PROD000033,NOM_PROD33,DES_PROD33,3,1,206,4,3228,0,2830,14.07,S,195,247,I
34,PROD000034,NOM_PROD34,DES_PROD34,1,1,366,5,3341,0,2912,14.74,N,347,439,A
35,PROD000035,NOM_PROD35,DES_PROD35,1,2,154,1,2087,0,1892,10.34,N,146,184,I
36,PROD000036,NOM_PROD36,DES_PROD36,4,3,490,1,4778,0,4022,18.81,S,465,588,A
37,PROD000037,NOM_PROD37,DES_PROD37,3,2,46,2,4746,0,4168,13.87,N,43,55,I
38,PROD000038,NOM_PROD38,DES_PROD38,4,2,13,5,4113,0,3633,13.23,S,12,15,A
39,PROD000039,NOM_PROD39,DES_PROD39,5,2,147,4,4621,0,3982,16.07,N,139,176,I
40,PROD000040,NOM_PROD40,DES_PROD40,2,1,190,2,3004,0,2586,16.18,S,180,228,A
41,PROD000041,NOM_PROD41,DES_PROD41,1,3,316,1,5078,0,4586,10.75,N,300,379,A
42,PROD000042,NOM_PROD42,DES_PROD42,5,1,395,1,2394,0,2030,17.94,N,375,474,A
43,PROD000043,NOM_PROD43,DES_PROD43,3,1,446,4,4325,0,3894,11.09,S,423,535,I
44,PROD000044,NOM_PROD44,DES_PROD44,3,2,250,5,3201,0,2766,15.76,S,237,300,A
45,PROD000045,NOM_PROD45,DES_PROD45,1,3,42,4,2306,0,1977,16.66,S,39,50,I
46,PROD000046,NOM_PROD46,DES_PROD46,2,2,186,1,5578,0,4988,11.84,N,176,223,A
47,PROD000047,NOM_PROD47,DES_PROD47,5,2,239,1,4349,0,3889,11.84,S,227,286,A
48,PROD000048,NOM_PROD48,DES_PROD48,1,1,359,1,4297,0,3801,13.06,S,341,430,I
49,PROD000049,NOM_PROD49,DES_PROD49,1,1,201,2,2588,0,2298,12.62,N,190,241,I
50,PROD000050,NOM_PROD50,DES_PROD50,3,1,86,5,3374,0,2870,17.57,N,81,103,I
51,PROD000051,NOM_PROD51,DES_PROD51,1,1,294,1,3390,0,2989,13.44,N,279,352,I
52,PROD000052,NOM_PROD52,DES_PROD52,5,3,163,3,2966,0,2603,13.97,N,154,195,A
53,PROD000053,NOM_PROD53,DES_PROD53,4,2,422,4,4330,0,3655,18.47,S,400,506,A
54,PROD000054,NOM_PROD54,DES_PROD54,5,3,228,2,3218,0,2873,12.02,N,216,273,I
55,PROD000055,NOM_PROD55,DES_PROD55,1,3,389,3,3544,0,3119,13.64,N,369,466,I
56,PROD000056,NOM_PROD56,DES_PROD56,3,1,94,1,3977,0,3397,17.1,S,89,112,A
57,PROD000057,NOM_PROD57,DES_PROD57,5,3,78,2,3502,0,3158,10.91,S,74,93,I
58,PROD000058,NOM_PROD58,DES_PROD58,4,3,101,1,5400,0,4884,10.58,S,95,121,I
59,PROD000059,NOM_PROD59,DES_PROD59,2,2,42,4,3502,0,3114,12.47,S,39,50,A
60,PROD000060,NOM_PROD60,DES_PROD60,3,3,379,5,4345,0,3831,13.43,S,360,454,I
61,PROD000061,NOM_PROD61,DES_PROD61,4,3,394,5,5104,0,4547,12.25,N,374,472,A
62,PROD000062,NOM_PROD62,DES_PROD62,1,2,209,3,3564,0,3022,17.94,N,198,250,I
63,PROD000063,NOM_PROD63,DES_PROD63,4,3,184,5,3284,0,2939,11.75,N,174,220,A
64,PROD000064,NOM_PROD64,DES_PROD64,5,1,200,4,3294,0,2967,11.03,N,190,240,A
65,PROD000065,NOM_PROD65,DES_PROD65,5,3,75,2,4413,0,3824,15.42,N,71,90,I
66,PROD000066,NOM_PROD66,DES_PROD66,4,1,319,4,2364,0,2020,17.07,N,303,382,I
67,PROD000067,NOM_PROD67,DES_PROD67,1,2,185,3,3200,0,2668,19.97,N,175,222,I
68,PROD000068,NOM_PROD68,DES_PROD68,3,1,192,4,5471,0,4693,16.59,S,182,230,I
69,PROD000069,NOM_PROD69,DES_PROD69,4,3,283,2,4108,0,3632,13.12,S,268,339,I
70,PROD000070,NOM_PROD70,DES_PROD70,2,3,417,4,2582,0,2291,12.71,N,396,500,A
71,PROD000071,NOM_PROD71,DES_PROD71,1,2,235,2,5294,0,4578,15.66,S,223,282,A
72,PROD000072,NOM_PROD72,DES_PROD72,5,2,90,2,2177,0,1908,14.1,S,85,108,A
73,PROD000073,NOM_PROD73,DES_PROD73,1,3,447,1,2711,0,2291,18.36,S,424,536,I
74,PROD000074,NOM_PROD74,DES_PROD74,4,1,416,4,5113,0,4568,11.95,S,395,499,I
75,PROD000075,NOM_PROD75,DES_PROD75,4,3,128,3,3087,0,2696,14.54,S,121,153,I
76,PROD000076,NOM_PROD76,DES_PROD76,5,3,48,5,4376,0,3966,10.35,S,45,57,A
77,PROD000077,NOM_PROD77,DES_PROD77,1,3,449,1,4555,0,4037,12.84,N,426,538,A
78,PROD000078,NOM_PROD78,DES_PROD78,2,3,30,4,4403,0,3694,19.2,N,28,36,A
79,PROD000079,NOM_PROD79,DES_PROD79,4,1,216,1,2802,0,2459,13.95,N,205,259,A
80,PROD000080,NOM_PROD80,DES_PROD80,5,2,21,1,4969,0,4485,10.81,N,19,25,A
81,PROD000081,NOM_PROD81,DES_PROD81,3,2,121,2,3152,0,2736,15.22,N,114,145,I
82,PROD000082,NOM_PROD82,DES_PROD82,4,1,294,5,3208,0,2892,10.96,S,279,352,A
83,PROD000083,NOM_PROD83,DES_PROD83,4,1,445,3,5254,0,4393,19.61,N,422,534,A
84,PROD000084,NOM_PROD84,DES_PROD84,3,1,190,2,5211,0,4427,17.73,N,180,228,I
85,PROD000085,NOM_PROD85,DES_PROD85,1,3,60,5,4729,0,4209,12.36,S,57,72,I
86,PROD000086,NOM_PROD86,DES_PROD86,1,1,368,4,5144,0,4535,13.43,S,349,441,I
87,PROD000087,NOM_PROD87,DES_PROD87,5,2,152,2,3855,0,3467,11.2,N,144,182,I
88,PROD000088,NOM_PROD88,DES_PROD88,5,2,303,4,4244,0,3767,12.67,N,287,363,A
89,PROD000089,NOM_PROD89,DES_PROD89,5,1,304,2,2239,0,1892,18.35,N,288,364,I
90,PROD000090,NOM_PROD90,DES_PROD90,4,2,280,4,3477,0,3081,12.87,S,266,336,I
91,PROD000091,NOM_PROD91,DES_PROD91,5,1,153,2,3391,0,3052,11.14,N,145,183,A
92,PROD000092,NOM_PROD92,DES_PROD92,2,2,393,3,3295,0,2897,13.76,N,373,471,A
93,PROD000093,NOM_PROD93,DES_PROD93,5,2,39,2,4615,0,4141,11.47,N,37,46,I
94,PROD000094,NOM_PROD94,DES_PROD94,1,3,227,2,4574,0,4061,12.64,S,215,272,I
95,PROD000095,NOM_PROD95,DES_PROD95,4,1,286,5,5400,0,4874,10.8,S,271,343,I
96,PROD000096,NOM_PROD96,DES_PROD96,3,1,79,2,2271,0,2001,13.5,S,75,94,A
97,PROD000097,NOM_PROD97,DES_PROD97,4,3,387,5,3079,0,2761,11.53,N,367,464,I
98,PROD000098,NOM_PROD98,DES_PROD98,5,1,392,4,4824,0,4238,13.84,S,372,470,A
99,PROD000099,NOM_PROD99,DES_PROD99,3,1,201,4,2508,0,2103,19.29,S,190,241,I
100,PROD000100,NOM_PROD100,DES_PROD100,5,1,16,3,4916,0,4321,13.79,N,15,19,I
101,PROD000101,NOM_PROD101,DES_PROD101,3,2,410,3,4945,0,4194,17.93,N,389,492,A
102,PROD000102,NOM_PROD102,DES_PROD102,4,1,236,1,4994,0,4344,14.97,N,224,283,A
103,PROD000103,NOM_PROD103,DES_PROD103,5,2,355,5,5052,0,4221,19.7,S,337,426,A
104,PROD000104,NOM_PROD104,DES_PROD104,5,3,215,1,5251,0,4481,17.2,S,204,258,A
105,PROD000105,NOM_PROD105,DES_PROD105,5,1,350,5,3403,0,2851,19.38,N,332,420,I
106,PROD000106,NOM_PROD106,DES_PROD106,5,1,89,5,3458,0,3080,12.28,N,84,106,I
107,PROD000107,NOM_PROD107,DES_PROD107,3,2,470,3,2151,0,1917,12.22,S,446,564,A
108,PROD000108,NOM_PROD108,DES_PROD108,4,2,137,1,5382,0,4591,17.24,S,130,164,I
109,PROD000109,NOM_PROD109,DES_PROD109,2,2,25,5,2221,0,1950,13.91,S,23,30,I
110,PROD000110,NOM_PROD110,DES_PROD110,5,2,90,2,3207,0,2841,12.89,S,85,108,A
111,PROD000111,NOM_PROD111,DES_PROD111,2,3,406,2,5366,0,4480,19.78,S,385,487,I
112,PROD000112,NOM_PROD112,DES_PROD112,2,3,83,2,4528,0,4056,11.64,N,78,99,I
113,PROD000113,NOM_PROD113,DES_PROD113,2,3,338,2,3974,0,3332,19.28,N,321,405,A
114,PROD000114,NOM_PROD114,DES_PROD114,1,1,187,1,5007,0,4410,13.56,S,177,224,I
115,PROD000115,NOM_PROD115,DES_PROD115,1,3,194,5,4078,0,3688,10.58,S,184,232,I
116,PROD000116,NOM_PROD116,DES_PROD116,2,1,446,5,2615,0,2237,16.92,S,423,535,I
117,PROD000117,NOM_PROD117,DES_PROD117,1,2,216,1,4504,0,4092,10.07,N,205,259,A
118,PROD000118,NOM_PROD118,DES_PROD118,3,3,144,2,5113,0,4446,15.02,S,136,172,A
119,PROD000119,NOM_PROD119,DES_PROD119,5,3,352,5,2884,0,2545,13.34,N,334,422,I
120,PROD000120,NOM_PROD120,DES_PROD120,3,3,258,1,3543,0,2984,18.75,S,245,309,A
121,PROD000121,NOM_PROD121,DES_PROD121,5,2,126,3,4592,0,3878,18.43,N,119,151,A
122,PROD000122,NOM_PROD122,DES_PROD122,2,1,198,1,5151,0,4566,12.82,N,188,237,A
123,PROD000123,NOM_PROD123,DES_PROD123,3,3,499,1,3620,0,3041,19.04,N,474,598,I
124,PROD000124,NOM_PROD124,DES_PROD124,4,1,409,3,2455,0,2218,10.69,S,388,490,I
125,PROD000125,NOM_PROD125,DES_PROD125,1,1,363,5,2516,0,2156,16.7,S,344,435,A
126,PROD000126,NOM_PROD126,DES_PROD126,5,3,299,2,4950,0,4494,10.15,S,284,358,I
127,PROD000127,NOM_PROD127,DES_PROD127,5,2,211,4,4526,0,3957,14.4,N,200,253,I
128,PROD000128,NOM_PROD128,DES_PROD128,3,1,475,1,3481,0,3127,11.34,N,451,570,I
129,PROD000129,NOM_PROD129,DES_PROD129,4,2,181,1,3095,0,2655,16.61,S,171,217,I
130,PROD000130,NOM_PROD130,DES_PROD130,2,3,480,3,3178,0,2714,17.12,S,456,576,I
131,PROD000131,NOM_PROD131,DES_PROD131,3,2,45,3,2903,0,2602,11.59,N,42,54,A
132,PROD000132,NOM_PROD132,DES_PROD132,5,2,97,4,4011,0,3546,13.13,N,92,116,A
133,PROD000133,NOM_PROD133,DES_PROD133,5,3,293,4,4578,0,4068,12.54,N,278,351,A
134,PROD000134,NOM_PROD134,DES_PROD134,3,2,91,3,5503,0,4717,16.67,S,86,109,A
135,PROD000135,NOM_PROD135,DES_PROD135,5,2,271,4,4092,0,3430,19.31,N,257,325,A
136,PROD000136,NOM_PROD136,DES_PROD136,3,3,253,2,3095,0,2630,17.69,S,240,303,I
137,PROD000137,NOM_PROD137,DES_PROD137,5,1,15,4,4828,0,4080,18.34,N,14,18,A
138,PROD000138,NOM_PROD138,DES_PROD138,1,2,443,3,3971,0,3377,17.6,N,420,531,A
139,PROD000139,NOM_PROD139,DES_PROD139,3,2,215,3,3799,0,3212,18.29,N,204,258,A
140,PROD000140,NOM_PROD140,DES_PROD140,4,2,433,4,5279,0,4788,10.27,S,411,519,I
141,PROD000141,NOM_PROD141,DES_PROD141,4,1,351,2,4677,0,4215,10.98,N,333,421,A
142,PROD000142,NOM_PROD142,DES_PROD142,1,1,7,5,3611,0,3076,17.4,N,6,8,A
143,PROD000143,NOM_PROD143,DES_PROD143,2,2,421,1,5113,0,4485,14.02,S,399,505,A
144,PROD000144,NOM_PROD144,DES_PROD144,1,3,113,1,5743,0,4796,19.76,N,107,135,A
